Font: Microsoft YaHei  Style: Regular
Point Size: 1   SP/PD Ratio: 500.0%

Characters included: 1640/7198
Missing characters: 0
Excluded characters: 5558

Characters missing from font file:
----------------------------------------

Characters excluded from packing:
----------------------------------------
ID: 20989	Hex: 51FD	Char [函]
ID: 38484	Hex: 9654	Char [陔]
ID: 38480	Hex: 9650	Char [限]
ID: 21370	Hex: 537A	Char [卺]
ID: 22969	Hex: 59B9	Char [妹]
ID: 22993	Hex: 59D1	Char [姑]
ID: 22992	Hex: 59D0	Char [姐]
ID: 22962	Hex: 59B2	Char [妲]
ID: 22959	Hex: 59AF	Char [妯]
ID: 22995	Hex: 59D3	Char [姓]
ID: 22999	Hex: 59D7	Char [姗]
ID: 22958	Hex: 59AE	Char [妮]
ID: 22987	Hex: 59CB	Char [始]
ID: 24081	Hex: 5E11	Char [帑]
ID: 24361	Hex: 5F29	Char [弩]
ID: 23397	Hex: 5B65	Char [孥]
ID: 39549	Hex: 9A7D	Char [驽]
ID: 22982	Hex: 59C6	Char [姆]
ID: 34417	Hex: 8671	Char [虱]
ID: 36838	Hex: 8FE6	Char [迦]
ID: 36834	Hex: 8FE2	Char [迢]
ID: 39550	Hex: 9A7E	Char [驾]
ID: 21441	Hex: 53C1	Char [叁]
ID: 21442	Hex: 53C2	Char [参]
ID: 36840	Hex: 8FE8	Char [迨]
ID: 33392	Hex: 8270	Char [艰]
ID: 32447	Hex: 7EBF	Char [线]
ID: 32448	Hex: 7EC0	Char [绀]
ID: 32449	Hex: 7EC1	Char [绁]
ID: 32450	Hex: 7EC2	Char [绂]
ID: 32451	Hex: 7EC3	Char [练]
ID: 39541	Hex: 9A75	Char [驵]
ID: 32452	Hex: 7EC4	Char [组]
ID: 32453	Hex: 7EC5	Char [绅]
ID: 32454	Hex: 7EC6	Char [细]
ID: 39542	Hex: 9A76	Char [驶]
ID: 32455	Hex: 7EC7	Char [织]
ID: 39543	Hex: 9A77	Char [驷]
ID: 39544	Hex: 9A78	Char [驸]
ID: 39545	Hex: 9A79	Char [驹]
ID: 32456	Hex: 7EC8	Char [终]
ID: 32457	Hex: 7EC9	Char [绉]
ID: 39546	Hex: 9A7A	Char [驺]
ID: 39547	Hex: 9A7B	Char [驻]
ID: 32458	Hex: 7ECA	Char [绊]
ID: 39548	Hex: 9A7C	Char [驼]
ID: 32459	Hex: 7ECB	Char [绋]
ID: 32460	Hex: 7ECC	Char [绌]
ID: 32461	Hex: 7ECD	Char [绍]
ID: 39551	Hex: 9A7F	Char [驿]
ID: 32462	Hex: 7ECE	Char [绎]
ID: 32463	Hex: 7ECF	Char [经]
ID: 39552	Hex: 9A80	Char [骀]
ID: 36143	Hex: 8D2F	Char [贯]
ID: 30014	Hex: 753E	Char [甾]
ID: 30729	Hex: 7809	Char [砉]
ID: 32788	Hex: 8014	Char [耔]
ID: 22865	Hex: 5951	Char [契]
ID: 36144	Hex: 8D30	Char [贰]
ID: 22863	Hex: 594F	Char [奏]
ID: 26149	Hex: 6625	Char [春]
ID: 24110	Hex: 5E2E	Char [帮]
ID: 29647	Hex: 73CF	Char [珏]
ID: 29648	Hex: 73D0	Char [珐]
ID: 29634	Hex: 73C2	Char [珂]
ID: 29649	Hex: 73D1	Char [珑]
ID: 29623	Hex: 73B7	Char [玷]
ID: 29619	Hex: 73B3	Char [玳]
ID: 29632	Hex: 73C0	Char [珀]
ID: 39032	Hex: 9878	Char [顸]
ID: 29645	Hex: 73CD	Char [珍]
ID: 29618	Hex: 73B2	Char [玲]
ID: 29642	Hex: 73CA	Char [珊]
ID: 29641	Hex: 73C9	Char [珉]
ID: 29640	Hex: 73C8	Char [珈]
ID: 29627	Hex: 73BB	Char [玻]
ID: 27602	Hex: 6BD2	Char [毒]
ID: 22411	Hex: 578B	Char [型]
ID: 38888	Hex: 97E8	Char [韨]
ID: 25325	Hex: 62ED	Char [拭]
ID: 25346	Hex: 6302	Char [挂]
ID: 23553	Hex: 5C01	Char [封]
ID: 25345	Hex: 6301	Char [持]
ID: 25326	Hex: 62EE	Char [拮]
ID: 25335	Hex: 62F7	Char [拷]
ID: 25329	Hex: 62F1	Char [拱]
ID: 22445	Hex: 57AD	Char [垭]
ID: 25373	Hex: 631D	Char [挝]
ID: 22435	Hex: 57A3	Char [垣]
ID: 39033	Hex: 9879	Char [项]
ID: 22446	Hex: 57AE	Char [垮]
ID: 25358	Hex: 630E	Char [挎]
ID: 22447	Hex: 57AF	Char [垯]
ID: 25374	Hex: 631E	Char [挞]
ID: 22478	Hex: 57CE	Char [城]
ID: 25375	Hex: 631F	Char [挟]
ID: 25376	Hex: 6320	Char [挠]
ID: 22436	Hex: 57A4	Char [垤]
ID: 25919	Hex: 653F	Char [政]
ID: 36212	Hex: 8D74	Char [赴]
ID: 36213	Hex: 8D75	Char [赵]
ID: 36211	Hex: 8D73	Char [赳]
ID: 36146	Hex: 8D32	Char [贲]
ID: 22449	Hex: 57B1	Char [垱]
ID: 25377	Hex: 6321	Char [挡]
ID: 25341	Hex: 62FD	Char [拽]
ID: 22412	Hex: 578C	Char [垌]
ID: 21705	Hex: 54C9	Char [哉]
ID: 22450	Hex: 57B2	Char [垲]
ID: 25402	Hex: 633A	Char [挺]
ID: 25324	Hex: 62EC	Char [括]
ID: 25378	Hex: 6322	Char [挢]
ID: 22479	Hex: 57CF	Char [埏]
ID: 37085	Hex: 90DD	Char [郝]
ID: 22413	Hex: 578D	Char [垍]
ID: 22439	Hex: 57A7	Char [垧]
ID: 22434	Hex: 57A2	Char [垢]
ID: 25332	Hex: 62F4	Char [拴]
ID: 25342	Hex: 62FE	Char [拾]
ID: 25361	Hex: 6311	Char [挑]
ID: 22427	Hex: 579B	Char [垛]
ID: 25351	Hex: 6307	Char [指]
ID: 22443	Hex: 57AB	Char [垫]
ID: 25379	Hex: 6323	Char [挣]
ID: 25380	Hex: 6324	Char [挤]
ID: 22419	Hex: 5793	Char [垓]
ID: 22431	Hex: 579F	Char [垟]
ID: 25340	Hex: 62FC	Char [拼]
ID: 22430	Hex: 579E	Char [垞]
ID: 25366	Hex: 6316	Char [挖]
ID: 25353	Hex: 6309	Char [按]
ID: 25381	Hex: 6325	Char [挥]
ID: 25382	Hex: 6326	Char [挦]
ID: 25386	Hex: 632A	Char [挪]
